CONSTITUENCY,STATE,POSTFIX_CODE
PERAMBALUR,TAMIL NADU,25
POLLACHI,TAMIL NADU,21
RAMANATHAPURAM,TAMIL NADU,35
SALEM,TAMIL NADU,15
SIVAGANGA,TAMIL NADU,31
SRIPERUMBUDUR,TAMIL NADU,5
TENKASI,TAMIL NADU,37
THANJAVUR,TAMIL NADU,30
THENI,TAMIL NADU,33
THOOTHUKKUDI,TAMIL NADU,36
TIRUCHIRAPPALLI,TAMIL NADU,24
TIRUNELVELI,TAMIL NADU,38
TIRUPPUR,TAMIL NADU,18
TIRUVALLUR,TAMIL NADU,1
TIRUVANNAMALAI,TAMIL NADU,11
VELLORE,TAMIL NADU,8
VILUPPURAM,TAMIL NADU,13
VIRUDHUNAGAR,TAMIL NADU,34
ADILABAD,TELANGANA,1
BHONGIR,TELANGANA,14
CHEVELLA,TELANGANA,10
HYDERABAD,TELANGANA,9
KARIMNAGAR,TELANGANA,3
KHAMMAM,TELANGANA,17
MAHABUBABAD,TELANGANA,16
MAHBUBNAGAR,TELANGANA,11
MALKAJGIRI,TELANGANA,7
MEDAK,TELANGANA,6
NAGARKURNOOL,TELANGANA,12
NALGONDA,TELANGANA,13
NIZAMABAD,TELANGANA,4
PEDDAPALLE,TELANGANA,2
SECUNDERABAD,TELANGANA,8
WARANGAL,TELANGANA,15
ZAHIRABAD,TELANGANA,5
TRIPURA EAST,TRIPURA,2
TRIPURA WEST,TRIPURA,1
AGRA,UTTAR PRADESH,18
AKBARPUR,UTTAR PRADESH,44
ALIGARH,UTTAR PRADESH,15
ALLAHABAD,UTTAR PRADESH,52
AMBEDKAR NAGAR,UTTAR PRADESH,55
AMETHI,UTTAR PRADESH,37
AMROHA,UTTAR PRADESH,9
AONLA,UTTAR PRADESH,24
AZAMGARH,UTTAR PRADESH,69
BADAUN,UTTAR PRADESH,23
BAGHPAT,UTTAR PRADESH,11
BAHRAICH,UTTAR PRADESH,56
BALLIA,UTTAR PRADESH,72
BANDA,UTTAR PRADESH,48
BANSGAON,UTTAR PRADESH,67
BARABANKI,UTTAR PRADESH,53
BAREILLY,UTTAR PRADESH,25
BASTI,UTTAR PRADESH,61
BHADOHI,UTTAR PRADESH,78
BIJNOR,UTTAR PRADESH,4
BULANDSHAHR,UTTAR PRADESH,14
CHANDAULI,UTTAR PRADESH,76
DEORIA,UTTAR PRADESH,66
DHAURAHRA,UTTAR PRADESH,29
DOMARIYAGANJ,UTTAR PRADESH,60
ETAH,UTTAR PRADESH,22
ETAWAH,UTTAR PRADESH,41
FAIZABAD,UTTAR PRADESH,54
FARRUKHABAD,UTTAR PRADESH,40
FATEHPUR,UTTAR PRADESH,49
FATEHPUR SIKRI,UTTAR PRADESH,19
FIROZABAD,UTTAR PRADESH,20
GAUTAM BUDDHA NAGAR,UTTAR PRADESH,13
GHAZIABAD,UTTAR PRADESH,12
GHAZIPUR,UTTAR PRADESH,75
GHOSI,UTTAR PRADESH,70
GONDA,UTTAR PRADESH,59
GORAKHPUR,UTTAR PRADESH,64
HAMIRPUR,UTTAR PRADESH,47
HARDOI,UTTAR PRADESH,31
HATHRAS,UTTAR PRADESH,16
JALAUN,UTTAR PRADESH,45
JAUNPUR,UTTAR PRADESH,73
JHANSI,UTTAR PRADESH,46
KAIRANA,UTTAR PRADESH,2
KAISERGANJ,UTTAR PRADESH,57
KANNAUJ,UTTAR PRADESH,42
KANPUR,UTTAR PRADESH,43
KAUSHAMBI,UTTAR PRADESH,50
KHERI,UTTAR PRADESH,28
KUSHI NAGAR,UTTAR PRADESH,65
LALGANJ,UTTAR PRADESH,68
LUCKNOW,UTTAR PRADESH,35
MACHHLISHAHR,UTTAR PRADESH,74
MAINPURI,UTTAR PRADESH,21
MATHURA,UTTAR PRADESH,17
MEERUT,UTTAR PRADESH,10
MIRZAPUR,UTTAR PRADESH,79
MISRIKH,UTTAR PRADESH,32
MOHANLALGANJ,UTTAR PRADESH,34
MORADABAD,UTTAR PRADESH,6
MUZAFFARNAGAR,UTTAR PRADESH,3
NAGINA,UTTAR PRADESH,5
PHULPUR,UTTAR PRADESH,51
PILIBHIT,UTTAR PRADESH,26
PRATAPGARH,UTTAR PRADESH,39
RAE BARELI,UTTAR PRADESH,36
RAMPUR,UTTAR PRADESH,7
ROBERTSGANJ,UTTAR PRADESH,80
SAHARANPUR,UTTAR PRADESH,1
SALEMPUR,UTTAR PRADESH,71
SAMBHAL,UTTAR PRADESH,8
SANT KABIR NAGAR,UTTAR PRADESH,62
SHAHJAHANPUR,UTTAR PRADESH,27
SHRAWASTI,UTTAR PRADESH,58
SITAPUR,UTTAR PRADESH,30
SULTANPUR,UTTAR PRADESH,38
UNNAO,UTTAR PRADESH,33
VARANASI,UTTAR PRADESH,77
ALMORA,UTTARAKHAND,3
GARHWAL,UTTARAKHAND,2
HARIDWAR,UTTARAKHAND,5
NAINITAL-UDHAMSINGH NAGAR,UTTARAKHAND,4
TEHRI GARHWAL,UTTARAKHAND,1
ALIPURDUARS,WEST BENGAL,2
ARAMBAG,WEST BENGAL,29
ASANSOL,WEST BENGAL,40
BAHARAMPUR,WEST BENGAL,10
BALURGHAT,WEST BENGAL,6
BANGAON,WEST BENGAL,14
BANKURA,WEST BENGAL,36
BARASAT,WEST BENGAL,17
BARDHAMAN DURGAPUR,WEST BENGAL,39
BARDHAMAN PURBA,WEST BENGAL,38
BARRACKPUR,WEST BENGAL,15
BASIRHAT,WEST BENGAL,18
BIRBHUM,WEST BENGAL,42
BISHNUPUR,WEST BENGAL,37
BOLPUR,WEST BENGAL,41
COOCH BEHAR,WEST BENGAL,1
DARJEELING,WEST BENGAL,4
DIAMOND HARBOUR,WEST BENGAL,21
DUM DUM,WEST BENGAL,16
GHATAL,WEST BENGAL,32
HOOGHLY,WEST BENGAL,28
HOWRAH,WEST BENGAL,25
JADAVPUR,WEST BENGAL,22
JALPAIGURI,WEST BENGAL,3
JANGIPUR,WEST BENGAL,9
JAYNAGAR,WEST BENGAL,19
JHARGRAM,WEST BENGAL,33
KANTHI,WEST BENGAL,31
KOLKATA DAKSHIN,WEST BENGAL,23
KOLKATA UTTAR,WEST BENGAL,24
KRISHNANAGAR,WEST BENGAL,12
MALDAHA DAKSHIN,WEST BENGAL,8
MALDAHA UTTAR,WEST BENGAL,7
MATHURAPUR,WEST BENGAL,20
MEDINIPUR,WEST BENGAL,34
MURSHIDABAD,WEST BENGAL,11
PURULIA,WEST BENGAL,35
RAIGANJ,WEST BENGAL,5
RANAGHAT,WEST BENGAL,13
SREERAMPUR,WEST BENGAL,27
TAMLUK,WEST BENGAL,30
ULUBERIA,WEST BENGAL,26
