CANDIDATE_NAME,CONSTITUENCY_CODE,CONSTITUENCY_NAME,EVM_VOTES,PARTY,POSTAL VOTES,STATE_CODE,STATE_NAME,TOTAL_VOTES,VOTING_PERCENTAGE
VASAVA RAJESHBHAI CHIMANBHAI,22,BHARUCH,6224,Bahujan Samaj Party,11,S06,GUJARAT,6235,0.54
SHERKHAN ABDULSAKUR PATHAN,22,BHARUCH,302890,Indian National Congress,691,S06,GUJARAT,303581,26.4
CHHOTUBHAI AMARSINH VASAVA,22,BHARUCH,143093,Bhartiya Tribal Party,990,S06,GUJARAT,144083,12.53
PATHAN SALIMKHAN SADIKKHAN,22,BHARUCH,2133,Sanyukt Vikas Party,2,S06,GUJARAT,2135,0.19
VASHI NARENDRASINH RANDHIRSINH,22,BHARUCH,808,Yuva Jan Jagriti Party,0,S06,GUJARAT,808,0.07
SABBIRBHAI MUSABHAI PATEL,22,BHARUCH,826,Apna Desh Party,0,S06,GUJARAT,826,0.07
SUKHDEV BHIKHABHAI VASAVA,22,BHARUCH,1218,Bahujan Mukti Party,3,S06,GUJARAT,1221,0.11
ASHOKCHANDRA BHIKHUBHAI PARMAR,22,BHARUCH,2845,Independent,6,S06,GUJARAT,2851,0.25
JITENDRA PARMAR (JITU CHOWKIDAR),22,BHARUCH,1323,Independent,4,S06,GUJARAT,1327,0.12
PATEL IMRAN UMARJIBHAI,22,BHARUCH,1510,Independent,0,S06,GUJARAT,1510,0.13
MUKHTIYAR ABDULRAHIM SHAIKH (BANSIMAMA),22,BHARUCH,2067,Independent,0,S06,GUJARAT,2067,0.18
VASAVA NAVINBHAI HIMMATBHAI,22,BHARUCH,8148,Independent,7,S06,GUJARAT,8155,0.71
VIKRAMSINH DALSUKHBHAI GOHIL,22,BHARUCH,3831,Independent,2,S06,GUJARAT,3833,0.33
SAPA RAFIKBHAI SULEMANBHAI,22,BHARUCH,3829,Independent,0,S06,GUJARAT,3829,0.33
SINDHA KIRITSINH ALIAS JALAMSINH NATHUBAVA,22,BHARUCH,15110,Independent,0,S06,GUJARAT,15110,1.31
SOLANKI RAJESHBHAI LALLUBHAI,22,BHARUCH,8037,Independent,1,S06,GUJARAT,8038,0.7
PATEL MANHARBHAI NAGJIBHAI (VASANI),15,BHAVNAGAR,329131,Indian National Congress,2623,S06,GUJARAT,331754,31.86
DR.BHARATIBEN DHIRUBHAI SHIYAL,15,BHAVNAGAR,655272,Bharatiya Janata Party,6001,S06,GUJARAT,661273,63.51
VIJAYKUMAR RAMABHAI MAKADIYA,15,BHAVNAGAR,6882,Bahujan Samaj Party,59,S06,GUJARAT,6941,0.67
DHAPA DHARAMSHIBHAI RAMJIBHAI,15,BHAVNAGAR,7756,Vyavastha Parivartan Party,80,S06,GUJARAT,7836,0.75
RAMDEVSINH BHARATSINH ZALA,15,BHAVNAGAR,2402,Jan Sangharsh Virat Party,107,S06,GUJARAT,2509,0.24
SONDHARVA BHARATBHAI KANJIBHAI,15,BHAVNAGAR,1362,Sardar Vallabhbhai Patel Party,1,S06,GUJARAT,1363,0.13
CHAUHAN AJAYKUMAR RAMRATANSINH (AMIT CHAUHAN),15,BHAVNAGAR,1557,Independent,4,S06,GUJARAT,1561,0.15
CHAMPABEN ZAVERBHAI CHAUHAN,15,BHAVNAGAR,1822,Independent,6,S06,GUJARAT,1828,0.18
SITAPARA SAGARBHAI BHURABHAI,15,BHAVNAGAR,3766,Independent,9,S06,GUJARAT,3775,0.36
HARESHBHAI BABUBHAI VEGAD (HARABHAI),15,BHAVNAGAR,6055,Independent,1,S06,GUJARAT,6056,0.58
RATHVA GITABEN VAJESINGBHAI,21,CHHOTA UDAIPUR,761472,Bharatiya Janata Party,2973,S06,GUJARAT,764445,62.03
RATHVA FURKANBHAI BALAJIBHAI,21,CHHOTA UDAIPUR,14948,Bahujan Samaj Party,16,S06,GUJARAT,14964,1.21
RATHAVA RANJITSINH MOHANSINH,21,CHHOTA UDAIPUR,384059,Indian National Congress,2443,S06,GUJARAT,386502,31.36
VASAVA RAJESH SOMABHAI,21,CHHOTA UDAIPUR,10519,Bhartiya Tribal Party,113,S06,GUJARAT,10632,0.86
UMESH JANGUBHAI RATHAWA,21,CHHOTA UDAIPUR,3699,Independent,11,S06,GUJARAT,3710,0.3
PRAVINBHAI DHURSINGBHAI RATHVA,21,CHHOTA UDAIPUR,3664,Independent,5,S06,GUJARAT,3669,0.3
RATHVA BHAVSINGBHAI NAMARSINGBHAI,21,CHHOTA UDAIPUR,6884,Independent,3,S06,GUJARAT,6887,0.56
RATHVA MAGANBHAI CHATHIYABHAI,21,CHHOTA UDAIPUR,8781,Independent,1,S06,GUJARAT,8782,0.71
KATARA BABUBHAI KHIMABHAI,19,DAHOD,431312,Indian National Congress,2852,S06,GUJARAT,434164,40.84
JASHVANTSINH SUMANBHAI BHABHOR,19,DAHOD,558977,Bharatiya Janata Party,2783,S06,GUJARAT,561760,52.84
BHABHOR DHULABHAI DITABHAI,19,DAHOD,11329,Bahujan Samaj Party,10,S06,GUJARAT,11339,1.07
KALARA RAMSINGBHAI NANJIBHAI,19,DAHOD,3835,Hindusthan Nirman Dal,1,S06,GUJARAT,3836,0.36
JAGDISHBHAI MANILAL MEDA,19,DAHOD,3821,Bharatiya National Janta Dal,3,S06,GUJARAT,3824,0.36
DAMOR MANABHAI BHAVSINGBHAI,19,DAHOD,5204,Independent,7,S06,GUJARAT,5211,0.49
DEVDHA SAMSUBHAI KHATARABHAI,19,DAHOD,11135,Independent,7,S06,GUJARAT,11142,1.05
AMIT SHAH,6,GANDHINAGAR,889925,Bharatiya Janata Party,4699,S06,GUJARAT,894624,69.67
DR. C. J. CHAVDA,6,GANDHINAGAR,334082,Indian National Congress,3528,S06,GUJARAT,337610,26.29
JAYENDRA KARSHANBHAI RATHOD,6,GANDHINAGAR,6335,Bahujan Samaj Party,65,S06,GUJARAT,6400,0.5
CHANDRAPAL HASMUKH BAVJIBHAI,6,GANDHINAGAR,1434,Peoples Party of India (Democratic),4,S06,GUJARAT,1438,0.11
NARENDRABHAI REVASHANKAR TRIVEDI,6,GANDHINAGAR,880,Jan Satya Path Party,8,S06,GUJARAT,888,0.07
PATEL AMARISH JASVANTLAL (C. A.),6,GANDHINAGAR,1718,Hindusthan Nirman Dal,23,S06,GUJARAT,1741,0.14
BHOGILAL J. RATHOD (ADVOCATE),6,GANDHINAGAR,1470,Bahujan Mukti Party,20,S06,GUJARAT,1490,0.12
MAKVANA PRAKASHBHAI BAHECHARJI (HITUBHA),6,GANDHINAGAR,1454,Garvi Gujarat Party,17,S06,GUJARAT,1471,0.11
RAHUL CHIMANBHAI MEHTA,6,GANDHINAGAR,1089,Right to Recall Party,8,S06,GUJARAT,1097,0.09
DR. N. T. SENGAL,6,GANDHINAGAR,734,Bahujan Suraksha Dal,9,S06,GUJARAT,743,0.06
KHODABHAI LALAJIBHAI DESAI,6,GANDHINAGAR,687,Independent,8,S06,GUJARAT,695,0.05
PATHAN FIROZKHAN SAEEDKHAN,6,GANDHINAGAR,860,Independent,2,S06,GUJARAT,862,0.07
MAKWANA ANILKUMAR SOMABHAI,6,GANDHINAGAR,1686,Independent,5,S06,GUJARAT,1691,0.13
MAHENDRABHAI SOMABHAI PATNI,6,GANDHINAGAR,1557,Independent,2,S06,GUJARAT,1559,0.12
RATHOD VALJIBHAI BECHARBHAI,6,GANDHINAGAR,2661,Independent,3,S06,GUJARAT,2664,0.21
VORA ALIMAHMAD RAJABHAI,6,GANDHINAGAR,9006,Independent,2,S06,GUJARAT,9008,0.7
SHEKH SHAHINBANU MOLANA MUSTAK,6,GANDHINAGAR,5891,Independent,4,S06,GUJARAT,5895,0.46
KANDORIYA MULUBHAI RANMALBHAI,12,JAMNAGAR,353199,Indian National Congress,1585,S06,GUJARAT,354784,35.09
POONAMBEN HEMATBHAI MAADAM,12,JAMNAGAR,587501,Bharatiya Janata Party,4087,S06,GUJARAT,591588,58.52
SUNIL JETHALAL VAGHELA,12,JAMNAGAR,8674,Bahujan Samaj Party,121,S06,GUJARAT,8795,0.87
ALIMAMAD ISHAKBHAI PALANI,12,JAMNAGAR,855,Independent,2,S06,GUJARAT,857,0.08
ASHOK CHAVDA,12,JAMNAGAR,571,Independent,6,S06,GUJARAT,577,0.06
AAMIN MAMADBHAI SAFIYA,12,JAMNAGAR,475,Independent,2,S06,GUJARAT,477,0.05
AMANDBHAI PATEL,12,JAMNAGAR,410,Independent,3,S06,GUJARAT,413,0.04
KACHCHHI DAUD NATHA SUMARA,12,JAMNAGAR,918,Independent,1,S06,GUJARAT,919,0.09
RABARI KARSHANBHAI JESHABHAI,12,JAMNAGAR,1417,Independent,19,S06,GUJARAT,1436,0.14
CHAVDA SHAMJI BABUBHAI,12,JAMNAGAR,760,Independent,8,S06,GUJARAT,768,0.08
CHAUHAN DHIRAJ KANTILAL,12,JAMNAGAR,768,Independent,6,S06,GUJARAT,774,0.08
JAHID AAVAD JAMI,12,JAMNAGAR,1245,Independent,1,S06,GUJARAT,1246,0.12
DONGA JAYANTILAL ARJANBHAI,12,JAMNAGAR,2485,Independent,4,S06,GUJARAT,2489,0.25
NAKUM NARMADABEN KHODALAL,12,JAMNAGAR,2106,Independent,7,S06,GUJARAT,2113,0.21
DALVADI NAKUM RASIK LALJI,12,JAMNAGAR,10025,Independent,35,S06,GUJARAT,10060,1.0
POPATPUTRA RAFIK ABUBAKAR,12,JAMNAGAR,8216,Independent,0,S06,GUJARAT,8216,0.81
BATHVAR NANJI AMARSHI,12,JAMNAGAR,5246,Independent,3,S06,GUJARAT,5249,0.52
BAXI MRUDUL ASHWINKUMAR,12,JAMNAGAR,3106,Independent,0,S06,GUJARAT,3106,0.31
BHARAT RAMJIBHAI DAGARA,12,JAMNAGAR,921,Independent,0,S06,GUJARAT,921,0.09
BHARKHANI KARABHAI JIVABHAI,12,JAMNAGAR,1447,Independent,1,S06,GUJARAT,1448,0.14
BHAVNABA JADEJA,12,JAMNAGAR,778,Independent,86,S06,GUJARAT,864,0.09
BHANDERI AMARSHIBHAI CHHAGANBHAI,12,JAMNAGAR,395,Independent,1,S06,GUJARAT,396,0.04
MAKRANI AJAZAHMED,12,JAMNAGAR,478,Independent,1,S06,GUJARAT,479,0.05
VALABHBHAI CHANABHAI SOJITRA (V. C. PATEL),12,JAMNAGAR,529,Independent,0,S06,GUJARAT,529,0.05
SAMA YUSUF,12,JAMNAGAR,648,Independent,1,S06,GUJARAT,649,0.06
SAHDEVSINH DILIPSINH CHUDASAMA,12,JAMNAGAR,1238,Independent,57,S06,GUJARAT,1295,0.13
SAPARIYA VIJAYKUMAR MANSUKHBHAI,12,JAMNAGAR,770,Independent,2,S06,GUJARAT,772,0.08
SUMBHANIA AAMIN ABASBHAI,12,JAMNAGAR,1945,Independent,1,S06,GUJARAT,1946,0.19
CHUDASAMA RAJESHBHAI NARANBHAI,13,JUNAGADH,543429,Bharatiya Janata Party,4315,S06,GUJARAT,547744,54.52
